titulo,precio,marca,link,fecha_scraping
Notebook Noblex N14x1010 14.1 Hd Intel Celeron 4gb/128gb Ssd,362.999,No especificada,https://www.mercadolibre.com.ar/notebook-noblex-n14x1010-141-hd-intel-celeron-4gb128gb-ssd/p/MLA37505961#polycard_client=search-nordic&wid=MLA1453055627&sid=search&searchVariation=MLA37505961&position=27&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate gray 16GB de Ram - 1TB SSD - Intel Core i7",2.636.345,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-gray-16gb-de-ram-1tb-ssd-intel-core-i7/p/MLA28111809#polycard_client=search-nordic&wid=MLA1862253680&sid=search&searchVariation=MLA28111809&position=28&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Hp 255 G10 Ryzen 5 7530u 16gb Ddr4 Ram 512gb Ssd Gráficos Amd Radeon 15.6  1366 X 768 Hd Free Color Negro,1.634.999,HP,https://www.mercadolibre.com.ar/notebook-hp-255-g10-ryzen-5-7530u-16gb-ddr4-ram-512gb-ssd-graficos-amd-radeon-156-1366-x-768-hd-free-color-negro/p/MLA41255857#polycard_client=search-nordic&wid=MLA1452594117&sid=search&searchVariation=MLA41255857&position=29&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Hp 15-dy5885wm 15,6  256gb / 8gb I5-1235u W11 - Spruce Blue",2.400.999,HP,https://www.mercadolibre.com.ar/notebook-hp-15-dy5885wm-156-256gb-8gb-i5-1235u-w11-spruce-blue/p/MLA39101091#polycard_client=search-nordic&wid=MLA1457220037&sid=search&searchVariation=MLA39101091&position=30&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Apple MacBook Air (13 pulgadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Plata",1.380.000,No especificada,https://www.mercadolibre.com.ar/apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-plata/p/MLA17828520#polycard_client=search-nordic&wid=MLA1121966195&sid=search&searchVariation=MLA17828520&position=31&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Pentium Silver N5030 4gb 128gb 14'' Plateado,740.499,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-pentium-silver-n5030-4gb-128gb-14-plateado/p/MLA37993460#polycard_client=search-nordic&wid=MLA1857459372&sid=search&searchVariation=MLA37993460&position=32&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate grey 40GB de Ram - 1TB SSD - Intel Core i7",2.416.824,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-grey-40gb-de-ram-1tb-ssd-intel-core-i7/p/MLA26314185#polycard_client=search-nordic&wid=MLA1862248438&sid=search&searchVariation=MLA26314185&position=33&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate grey 8GB de Ram - 256GB SSD - Intel Core i3",1.312.945,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-grey-8gb-de-ram-256gb-ssd-intel-core-i3/p/MLA26696118#polycard_client=search-nordic&wid=MLA1860671558&sid=search&searchVariation=MLA26696118&position=34&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Wings Nuvobook Intel Core I7 16gb De Ram 1tb Ssd Pcie Nvme 14 Pulgadas 1920px X 1080px Windows 11 Home,1.697.999,No especificada,https://www.mercadolibre.com.ar/notebook-wings-nuvobook-intel-core-i7-16gb-de-ram-1tb-ssd-pcie-nvme-14-pulgadas-1920px-x-1080px-windows-11-home/p/MLA40550948#polycard_client=search-nordic&wid=MLA1906581064&sid=search&searchVariation=MLA40550948&position=35&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate gray 16GB de Ram - 256GB SSD - Intel Core i5",1.731.081,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-gray-16gb-de-ram-256gb-ssd-intel-core-i5/p/MLA27862443#polycard_client=search-nordic&wid=MLA1439639833&sid=search&searchVariation=MLA27862443&position=36&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Portatil Asus E1504fa-nj550w Ryzen 5 7520u 8gb Ddr5 Ssd256gb Color Negro,1.880.999,ASUS,https://www.mercadolibre.com.ar/portatil-asus-e1504fa-nj550w-ryzen-5-7520u-8gb-ddr5-ssd256gb-color-negro/p/MLA35811606#polycard_client=search-nordic&wid=MLA1943142720&sid=search&searchVariation=MLA35811606&position=37&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Dell Latitude 3440 Intel Core I5-1335u 32 Gb Ddr4-sdram 512 Gb Ssd 35.6 Cm (14) Full Hd Intel Iris Xe Graphics 80eu Wi-fi 6e (802.11ax) Teclado Español Windows 11 Pro Color Gris Oscuro,1.864.499,DELL,https://www.mercadolibre.com.ar/notebook-dell-latitude-3440-intel-core-i5-1335u-32-gb-ddr4-sdram-512-gb-ssd-356-cm-14-full-hd-intel-iris-xe-graphics-80eu-wi-fi-6e-80211ax-teclado-espanol-windows-11-pro-color-gris-oscuro/p/MLA41105673#polycard_client=search-nordic&wid=MLA1916503010&sid=search&searchVariation=MLA41105673&position=38&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Netbook 11.6 Pcbox Hd Celeron N4020 8gb Ssd 480 Sf20gm7 Free Color Blanco,423.983,No especificada,https://www.mercadolibre.com.ar/netbook-116-pcbox-hd-celeron-n4020-8gb-ssd-480-sf20gm7-free-color-blanco/p/MLA26520866#polycard_client=search-nordic&wid=MLA1918193850&sid=search&searchVariation=MLA26520866&position=39&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook HP Pavilion X360 2 en 1 Laptop 14-EK0000LA Color Negro,1.499.999,HP,https://www.mercadolibre.com.ar/notebook-hp-pavilion-x360-2-en-1-laptop-14-ek0000la-color-negro/p/MLA35093863#polycard_client=search-nordic&wid=MLA1419626525&sid=search&searchVariation=MLA35093863&position=40&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Lenovo Ideapad1 15alc7 Ryzen 7 16gb Ram Ddr4 512gb Ssd Pcie Amd Radeon Graphics 1920 X 1080 Px Full Hd Freedos Color Abbys Blue,1.987.499,LENOVO,https://www.mercadolibre.com.ar/notebook-lenovo-ideapad1-15alc7-ryzen-7-16gb-ram-ddr4-512gb-ssd-pcie-amd-radeon-graphics-1920-x-1080-px-full-hd-freedos-color-abbys-blue/p/MLA42199841#polycard_client=search-nordic&wid=MLA1940815702&sid=search&searchVariation=MLA42199841&position=41&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Asus E410ka  Intel Celeron N4500 4gb 64gb Emmc W11,399.999,ASUS,https://articulo.mercadolibre.com.ar/MLA-1911231852-notebook-asus-e410ka-intel-celeron-n4500-4gb-64gb-emmc-w11-_JM#polycard_client=search-nordic&position=51&search_layout=stack&type=item&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Hp Pavilion Plus 14-eh0101la Intel Core I7-1255u 16 Gb Ddr4 1 Tb Ssd 14  Oled 2880x1800px 90hz 100% Dci-p3 Hdr Nvidia Geforce Rtx 2050 Teclado Español Windows 11 Home Azul,2.287.499,HP,https://www.mercadolibre.com.ar/notebook-hp-pavilion-plus-14-eh0101la-intel-core-i7-1255u-16-gb-ddr4-1-tb-ssd-14-oled-2880x1800px-90hz-100-dci-p3-hdr-nvidia-geforce-rtx-2050-teclado-espanol-windows-11-home-azul/p/MLA40007363#polycard_client=search-nordic&wid=MLA1446901609&sid=search&searchVariation=MLA40007363&position=42&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Hp - Intel Core I3 - 8gb Ram - 128gb Ssd - Pantalla 15.6 Touchscreen Táctil - Windows 11 Home,1.127.999,HP,https://www.mercadolibre.com.ar/notebook-hp-intel-core-i3-8gb-ram-128gb-ssd-pantalla-156-touchscreen-tactil-windows-11-home/p/MLA42027357#polycard_client=search-nordic&wid=MLA1456871409&sid=search&searchVariation=MLA42027357&position=43&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Laptop Asus 14 Pulgadas 4gb Ram 64gg Ssd Celeron N4500 W11 Color Azul Marino,543.549,ASUS,https://www.mercadolibre.com.ar/laptop-asus-14-pulgadas-4gb-ram-64gg-ssd-celeron-n4500-w11-color-azul-marino/p/MLA39987239#polycard_client=search-nordic&wid=MLA1955491046&sid=search&searchVariation=MLA39987239&position=44&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook Ideapad 1 14igl7 Celeron N4020, 4gb, 128gb , Win11 Color Gris",749.999,LENOVO,https://www.mercadolibre.com.ar/notebook-ideapad-1-14igl7-celeron-n4020-4gb-128gb-win11-color-gris/p/MLA29005170#polycard_client=search-nordic&wid=MLA1423032899&sid=search&searchVariation=MLA29005170&position=45&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
"Notebook X515EA 15.6"" color slate gray 16GB de Ram - 512GB SSD - Intel Core i7",1.952.799,ASUS,https://www.mercadolibre.com.ar/notebook-x515ea-156-color-slate-gray-16gb-de-ram-512gb-ssd-intel-core-i7/p/MLA27820627#polycard_client=search-nordic&wid=MLA1926754546&sid=search&searchVariation=MLA27820627&position=46&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Dell Latitude 3440 Intel Core I5-1335u 32 Gb Ddr4-sdram 1 Tb Ssd 35.6 Cm (14) Full Hd Intel Iris Xe Graphics 80eu Wi-fi 6e (802.11ax) Teclado Español Windows 11 Pro Color Gris Oscuro,1.892.499,DELL,https://www.mercadolibre.com.ar/notebook-dell-latitude-3440-intel-core-i5-1335u-32-gb-ddr4-sdram-1-tb-ssd-356-cm-14-full-hd-intel-iris-xe-graphics-80eu-wi-fi-6e-80211ax-teclado-espanol-windows-11-pro-color-gris-oscuro/p/MLA42523779#polycard_client=search-nordic&wid=MLA1948942938&sid=search&searchVariation=MLA42523779&position=47&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Apple Macbook Air M2 Chip 15-inch 8gb  256gb Ssd Silver Color Plateado,3.389.999,No especificada,https://articulo.mercadolibre.com.ar/MLA-1837571834-apple-macbook-air-m2-chip-15-inch-8gb-256gb-ssd-silver-color-plateado-_JM#polycard_client=search-nordic&position=52&search_layout=stack&type=item&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Hp Pavilion Plus 14-eh0104la Intel Core I5-1240p 8gb Ram 512 Gb Ssd 35.6 Cm (14  ) 2.2k (2240x1400px) Ips 100% Srgb Wi-fi 5 (802.11ac) Teclado Español Windows 11 Home Color Plateado,1.866.899,HP,https://www.mercadolibre.com.ar/notebook-hp-pavilion-plus-14-eh0104la-intel-core-i5-1240p-8gb-ram-512-gb-ssd-356-cm-14-22k-2240x1400px-ips-100-srgb-wi-fi-5-80211ac-teclado-espanol-windows-11-home-color-plateado/p/MLA40007054#polycard_client=search-nordic&wid=MLA1443709637&sid=search&searchVariation=MLA40007054&position=48&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Enova Amd Ryzen 240 Gb 5 5560u 8gb Ram W11,689.999,No especificada,https://www.mercadolibre.com.ar/notebook-enova-amd-ryzen-240-gb-5-5560u-8gb-ram-w11/p/MLA36710221#polycard_client=search-nordic&wid=MLA1852382912&sid=search&searchVariation=MLA36710221&position=49&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
Notebook Kanji 15.6 Intel Celeron N4020 128gb Emmc 4gb Ram Color Negro,520.999,No especificada,https://www.mercadolibre.com.ar/notebook-kanji-156-intel-celeron-n4020-128gb-emmc-4gb-ram-color-negro/p/MLA29531841#polycard_client=search-nordic&wid=MLA1450644801&sid=search&searchVariation=MLA29531841&position=3&search_layout=stack&type=product&tracking_id=8b88b6d0-7245-4d5c-8d6f-e8fd0f5b8b71,2024-11-20 17:06:57
